id,city,countryCode,region
1,Lazaro Cardenas,Mexico,America/Mexico_City
2,Spanish Wells,Bahamas,America/Nassau
3,Shidu,China,Asia/Shanghai
4,Drásov,Czech Republic,Europe/Prague
5,Javhlant,Mongolia,Asia/Ulaanbaatar
6,Maliana,East Timor,Asia/Makassar
7,Orda,Russia,Asia/Yekaterinburg
8,Oyem,Gabon,Africa/Libreville
9,Dawangzhuang,China,Asia/Shanghai
10,Sirinhaém,Brazil,America/Recife
11,Malvinas Argentinas,Argentina,America/Argentina/Cordoba
12,Rāmganj,Bangladesh,Asia/Dhaka
13,Milton,United Kingdom,Europe/London
14,Santa Catalina,Uruguay,America/Montevideo
15,Amu Gulang Baolige,China,Asia/Harbin
16,Tomelilla,Sweden,Europe/Stockholm
17,Tucson,United States,America/Phoenix
18,Shahe,China,Asia/Shanghai
19,Sobhādero,Pakistan,Asia/Karachi
20,Dingjiayao,China,Asia/Chongqing
21,Ningxin,China,Asia/Shanghai
22,Léfka,Cyprus,Asia/Nicosia
23,Böhöt,Mongolia,Asia/Ulaanbaatar
24,Normandin,Canada,America/Montreal
25,Américo Brasiliense,Brazil,America/Sao_Paulo
26,Bassar,Togo,Africa/Lome
27,Potlot,Indonesia,Asia/Jakarta
28,La Curva,Philippines,Asia/Manila
29,Guaçuí,Brazil,America/Sao_Paulo
30,Vélo,Greece,Europe/Athens
31,Xihu,China,Asia/Shanghai
32,Lawa-an,Philippines,Asia/Manila
33,Nangalimang,Indonesia,Asia/Makassar
34,Holma,Nigeria,Africa/Lagos
35,Ushumun,Russia,Asia/Yakutsk
36,Kramsk,Poland,Europe/Warsaw
37,Qingxi,China,Asia/Chongqing
38,Nkwerre,Nigeria,Africa/Lagos
39,Bum Bum,Venezuela,America/Caracas
40,Al Jawādīyah,Syria,Europe/Istanbul
41,Narew,Poland,Europe/Warsaw
42,Marjayoûn,Lebanon,Asia/Beirut
43,Dzhebariki-Khaya,Russia,Asia/Yakutsk
44,Okigwi,Nigeria,Africa/Lagos
45,Nurlat,Russia,Europe/Moscow
46,Lužani,Croatia,Europe/Zagreb
47,Pýrgos,Greece,Europe/Athens
48,Cahul,Moldova,Europe/Chisinau
49,Åkersberga,Sweden,Europe/Stockholm
50,Xicun,China,Asia/Shanghai
51,Xingou,China,Asia/Chongqing
52,Padaan,Indonesia,Asia/Jakarta
53,Hrodna,Belarus,Europe/Minsk
54,Suka Makmue,Indonesia,Asia/Pontianak
55,Palmas,Brazil,America/Araguaina
56,Saijō,Japan,Asia/Tokyo
57,‘Eilabun,Israel,Asia/Jerusalem
58,Sanyang,China,Asia/Shanghai
59,Qingquan,China,Asia/Chongqing
60,Thạnh Mỹ,Vietnam,Asia/Ho_Chi_Minh
61,Särevere,Estonia,Europe/Tallinn
62,Putrajaya,Malaysia,Asia/Kuala_Lumpur
63,Qiling,China,Asia/Shanghai
64,Moinhos,Portugal,Europe/Lisbon
65,Lubumbashi,Democratic Republic of the Congo,Africa/Lubumbashi
66,Zhenyuan,China,Asia/Chongqing
67,Croissy-sur-Seine,France,Europe/Paris
68,Al Miqdādīyah,Iraq,Asia/Baghdad
69,Setonokalong,Indonesia,Asia/Jakarta
70,Goiás,Brazil,America/Sao_Paulo
71,Cilaja,Indonesia,Asia/Jakarta
72,Medvezh’yegorsk,Russia,Europe/Moscow
73,Kaum,Indonesia,Asia/Jakarta
74,Carcassonne,France,Europe/Paris
75,El Mirador,Mexico,America/Mexico_City
76,Taishihe,China,Asia/Chongqing
77,Kanie,Japan,Asia/Tokyo
78,Valencia,Philippines,Asia/Manila
79,Radymno,Poland,Europe/Warsaw
80,Tai Po,Hong Kong,Asia/Hong_Kong
81,Västra Frölunda,Sweden,Europe/Stockholm
82,Shuangqiao,China,Asia/Shanghai
83,Taoyuan,China,Asia/Chongqing
84,Ciwidara,Indonesia,Asia/Jakarta
85,Leiwang,China,Asia/Chongqing
86,Grzechynia,Poland,Europe/Warsaw
87,Kabaty,Poland,Europe/Warsaw
88,Funabashi,Japan,Asia/Tokyo
89,Bagdadi,Georgia,Asia/Tbilisi
90,Olbramovice,Czech Republic,Europe/Prague
91,KwaMbonambi,South Africa,Africa/Johannesburg
92,Huishi,China,Asia/Chongqing
93,Wadi,China,Asia/Harbin
94,Fruitvale,Canada,America/Los_Angeles
95,Kamigyō-ku,Japan,Asia/Tokyo
96,Pittsburgh,United States,America/New_York
97,Tajumulco,Guatemala,America/Guatemala
98,Bluefields,Jamaica,America/Jamaica
99,Changfeng,China,Asia/Chongqing
100,Łaziska Górne,Poland,Europe/Warsaw
101,Shawnee Mission,United States,America/Chicago
102,Pule,Indonesia,Asia/Jakarta
103,Nikhom Kham Soi,Thailand,Asia/Bangkok
104,Mayong,China,Asia/Chongqing
105,Yutan,China,Asia/Chongqing
106,Thị Trấn Nguyên Bình,Vietnam,Asia/Ho_Chi_Minh
107,Chumpi,Peru,America/Lima
108,Shimeitang,China,Asia/Chongqing
109,Subotica,Serbia,Europe/Belgrade
110,Montes Claros,Brazil,America/Sao_Paulo
111,Robertsport,Liberia,Africa/Monrovia
112,Nangabere,Indonesia,Asia/Makassar
113,Matayumtayum,Philippines,Asia/Manila
114,Sainte-Thérèse,Canada,America/Montreal
115,Santo Tomé,Argentina,America/Argentina/Cordoba
116,Tmourghout,Morocco,Africa/Casablanca
117,Mātli,Pakistan,Asia/Karachi
